,PowerStation,Zone,Hour,Loss_Factor
2,Apollo,Mpumalanga,0,0.01611183746368797
6,Aurora,Cape,0,-0.0034396979055195363
8,Bacchu,Cape,0,-0.01093639814805115
13,Delphi,Cape,0,-0.007857678007042384
20,Grassr,Cape,0,-0.0030563006775077926
23,Helios,Cape,0,-0.011678670631932536
24,Hendrin,Mpumalanga,0,0.01638153263826667
26,Hydra ,Karoo,0,0.0002879820614155759
31,Kendal ,Mpumalanga,0,0.019112408468465108
32,Koeberg,Cape,0,-0.00833125737412331
33,Komati P,Mpumalanga,0,0.023559822834284903
34,Kriel P,Mpumalanga,0,0.017949634456708136
38,Majuba ,Mpumalanga,0,0.005217120832434224
40,Matimba,Waterburg,0,0.03644309940162748
41,Matla P,Mpumalanga,0,0.021747073370637637
42,Medupi ,Waterburg,0,0.029231028430650795
43,Mulder,Cape,0,-0.018737878132991694
45,Olien ,Karoo,0,-2.470131485648642e-05
52,Poseid,Cape,0,-0.003454161148478804
54,Ressan,Mpumalanga,0,-0.00085228236637419
63,Apollo,Mpumalanga,1,0.015563481413497018
67,Aurora,Cape,1,-0.006115485429335016
69,Bacchu,Cape,1,-0.009730577449531092
74,Delphi,Cape,1,-0.005201849284105039
81,Grassr,Cape,1,-0.0013318643293762404
84,Helios,Cape,1,-0.01091723026704852
85,Hendrin,Mpumalanga,1,0.015972965165032913
87,Hydra ,Karoo,1,0.0006413880734925409
92,Kendal ,Mpumalanga,1,0.018657396888751992
93,Koeberg,Cape,1,-0.007195883758496613
94,Komati P,Mpumalanga,1,0.0014183088773152093
95,Kriel P,Mpumalanga,1,0.017445368651004337
99,Majuba ,Mpumalanga,1,0.005119256042036001
101,Matimba,Waterburg,1,0.03635860548092345
102,Matla P,Mpumalanga,1,0.020028972374001714
103,Medupi ,Waterburg,1,0.029125131937371995
104,Mulder,Cape,1,-0.01616064680666275
106,Olien ,Karoo,1,0.00026117565706914935
113,Poseid,Cape,1,-0.001370599861541357
115,Ressan,Mpumalanga,1,-0.0008975314936234695
124,Apollo,Mpumalanga,2,0.015347220415371605
128,Aurora,Cape,2,-0.005641349736475275
135,Delphi,Cape,2,-0.002885832031014089
142,Grassr,Cape,2,0.0006989046278513223
145,Helios,Cape,2,-0.009419753040946858
146,Hendrin,Mpumalanga,2,0.015585900365526307
148,Hydra ,Karoo,2,0.0008182625910815592
153,Kendal ,Mpumalanga,2,0.018407583324405802
154,Koeberg,Cape,2,-0.006629818950804659
156,Kriel P,Mpumalanga,2,0.017017968369800254
160,Majuba ,Mpumalanga,2,0.004102354356127472
162,Matimba,Waterburg,2,0.03636870296610434
163,Matla P,Mpumalanga,2,0.019893387906545365
164,Medupi ,Waterburg,2,0.0291008187826295
165,Mulder,Cape,2,-0.014980034989370037
167,Olien ,Karoo,2,0.0004729122691333455
174,Poseid,Cape,2,0.0007493985591712791
176,Ressan,Mpumalanga,2,-0.0009653567070147318
185,Apollo,Mpumalanga,3,0.015580166891042866
189,Aurora,Cape,3,-0.006179304198967927
196,Delphi,Cape,3,-0.0013229749356995593
203,Grassr,Cape,3,0.0020401240881205247
206,Helios,Cape,3,-0.010930009061666253
207,Hendrin,Mpumalanga,3,0.01583079821368816
209,Hydra ,Karoo,3,0.000949610145995617
214,Kendal ,Mpumalanga,3,0.01859820536823645
215,Koeberg,Cape,3,-0.007105790190319092
217,Kriel P,Mpumalanga,3,0.017156241634637647
221,Majuba ,Mpumalanga,3,0.004047117628314098
223,Matimba,Waterburg,3,0.03660689546245326
224,Matla P,Mpumalanga,3,0.02013085955515081
225,Medupi ,Waterburg,3,0.029345262458983695
226,Mulder,Cape,3,-0.01597140565475156
228,Olien ,Karoo,3,0.00044824910444368136
235,Poseid,Cape,3,0.0021062168443512787
237,Ressan,Mpumalanga,3,-0.0009073108934444719
246,Apollo,Mpumalanga,4,0.015775948024793637
250,Aurora,Cape,4,-0.006796101726010931
257,Delphi,Cape,4,-0.0007642412467382693
264,Grassr,Cape,4,0.0024678146359225993
267,Helios,Cape,4,-0.006429191949530464
268,Hendrin,Mpumalanga,4,0.016066173099057748
270,Hydra ,Karoo,4,0.0009593254707202855
275,Kendal ,Mpumalanga,4,0.0188501085801547
276,Koeberg,Cape,4,-0.007751157530000351
277,Komati P,Mpumalanga,4,0.0015647392398191664
278,Kriel P,Mpumalanga,4,0.01760319959470347
282,Majuba ,Mpumalanga,4,0.005258390100979229
284,Matimba,Waterburg,4,0.03644135941502274
285,Matla P,Mpumalanga,4,0.020386771523406424
286,Medupi ,Waterburg,4,0.029238867353240508
289,Olien ,Karoo,4,0.000349984703384564
296,Poseid,Cape,4,0.0030335407716470192
298,Ressan,Mpumalanga,4,-0.0008413628041171983
307,Apollo,Mpumalanga,5,0.014500633837602316
311,Aurora,Cape,5,-0.006484717363345041
313,Bacchu,Cape,5,-0.009733017823370419
318,Delphi,Cape,5,-0.00101129295447015
325,Grassr,Cape,5,0.00142295610669786
328,Helios,Cape,5,-0.006607919968497637
329,Hendrin,Mpumalanga,5,0.014816622297828744
331,Hydra ,Karoo,5,0.0008036504580275353
336,Kendal ,Mpumalanga,5,0.01766716589586178
337,Koeberg,Cape,5,-0.007516245978992184
339,Kriel P,Mpumalanga,5,0.016926158756553737
343,Majuba ,Mpumalanga,5,0.0054592061039639905
345,Matimba,Waterburg,5,0.03437783898154492
346,Matla P,Mpumalanga,5,0.018952835218829133
347,Medupi ,Waterburg,5,0.02729395464277196
350,Olien ,Karoo,5,-9.0008600519251e-06
357,Poseid,Cape,5,0.002556911290908353
359,Ressan,Mpumalanga,5,-0.0009803256728270445
368,Apollo,Mpumalanga,6,0.013003548753165528
372,Aurora,Cape,6,-0.00509734410281395
374,Bacchu,Cape,6,-0.007623349038105864
379,Delphi,Cape,6,-0.0010984893120625293
383,Gariep,Karoo,6,0.07315515819686111
386,Grassr,Cape,6,0.0011297251729226524
389,Helios,Cape,6,-0.005081282386881389
390,Hendrin,Mpumalanga,6,0.0135231682942898
392,Hydra ,Karoo,6,0.001442921658898405
394,Ingula ,KZN,6,-0.0020260019865850284
397,Kendal ,Mpumalanga,6,0.016641290613593308
398,Koeberg,Cape,6,-0.0057414244563548066
400,Kriel P,Mpumalanga,6,0.016150737047727015
404,Majuba ,Mpumalanga,6,0.006222323551889263
406,Matimba,Waterburg,6,0.03237470481301007
407,Matla P,Mpumalanga,6,0.017849317835666508
408,Medupi ,Waterburg,6,0.025345663124046167
411,Olien ,Karoo,6,0.0003597423157933438
418,Poseid,Cape,6,0.003106180384555548
420,Ressan,Mpumalanga,6,-0.0011270538613994024
423,Tabor ,Mpumalanga,6,0.011612759711830702
425,Van Der,Karoo,6,0.044783824524280515
426,Witkop,Mpumalanga,6,0.013754718184500763
429,Apollo,Mpumalanga,7,0.011201159243041615
430,Aries ,Cape,7,-0.008448578975428783
433,Aurora,Cape,7,-0.004692317762791701
435,Bacchu,Cape,7,-0.0063410611360188215
437,Bounda,Karoo,7,0.0023934976693245503
440,Delphi,Cape,7,-0.0013208200211160476
443,Ferrum,Cape,7,-0.0009321289595503537
444,Gariep,Karoo,7,0.0727931947317608
447,Grassr,Cape,7,0.001074630656091602
449,Harvar,Karoo,7,0.004281699048595044
450,Helios,Cape,7,-0.010535407706594006
451,Hendrin,Mpumalanga,7,0.013430776819497583
453,Hydra ,Karoo,7,0.0025668296052720535
455,Ingula ,KZN,7,0.0050943947773765584
458,Kendal ,Mpumalanga,7,0.016309855400057274
459,Koeberg,Cape,7,-0.005050517302135448
460,Komati P,Mpumalanga,7,0.026604075203898743
461,Kriel P,Mpumalanga,7,0.017839618017712052
462,Kronos,Karoo,7,-0.0015557132825717113
465,Majuba ,Mpumalanga,7,0.01119658064406757
466,Matimb,Waterburg,7,0.028915822292814808
467,Matimba,Waterburg,7,0.02975350072427421
468,Matla P,Mpumalanga,7,0.018421242197446643
469,Medupi ,Waterburg,7,0.022863097458891184
472,Olien ,Karoo,7,0.00045970944537233313
473,Palmiet,Cape,7,-0.011176052418735509
479,Poseid,Cape,7,0.0029978654782873504
481,Ressan,Mpumalanga,7,-0.0012371339244795988
484,Tabor ,Mpumalanga,7,0.008181132207158756
486,Van Der,Karoo,7,0.041692716418905026
487,Witkop,Mpumalanga,7,0.010787546633729125
490,Apollo,Mpumalanga,8,0.009340511656037933
491,Aries ,Cape,8,-0.006457657179056164
494,Aurora,Cape,8,-0.008474456314813496
495,Avon OC,KZN,8,-0.0053287781294904975
496,Bacchu,Cape,8,-0.012247478545072736
498,Bounda,Karoo,8,0.0031519007975164045
499,Camden,Mpumalanga,8,0.011442213999617215
500,DME OCG,Cape,8,0.006548823651474876
501,Delphi,Cape,8,0.0012247001872016119
504,Ferrum,Cape,8,-0.0004123074783327963
505,Gariep,Karoo,8,0.0721315686315462
508,Grassr,Cape,8,0.004752055761706032
510,Harvar,Karoo,8,0.004792092612754272
511,Helios,Cape,8,-0.008625240112889728
512,Hendrin,Mpumalanga,8,0.013075159000708714
514,Hydra ,Karoo,8,0.00461643193967185
516,Ingula ,KZN,8,0.008728935869887346
517,Juno P,Cape,8,-0.00981394658191472
518,Juno W,Cape,8,-0.0098227799904667
519,Kendal ,Mpumalanga,8,0.015649503481348376
520,Koeberg,Cape,8,-0.00470242554804196
521,Komati P,Mpumalanga,8,0.027943741793026826
522,Kriel P,Mpumalanga,8,0.0197847388666378
523,Kronos,Karoo,8,0.0006348913478118538
526,Majuba ,Mpumalanga,8,0.013706827166834745
527,Matimb,Waterburg,8,0.02723275055558816
528,Matimba,Waterburg,8,0.02760170626028774
529,Matla P,Mpumalanga,8,0.017390228669595085
